Source,Target,Weight
MitoTsukino,Chihiro_yuki23,0.261
MitoTsukino,Elu_World,0.2346
MitoTsukino,HiguchiKaede,0.368
MitoTsukino,ShizuRin23,0.212
MitoTsukino,sibuya_hajime,0.2142
MitoTsukino,aki_suzuya,0.1803
MitoTsukino,Moiramoimoimoi,0.1328
MitoTsukino,suzukautako,0.263
MitoTsukino,ushimi_ichigo,0.1227
MitoTsukino,ienaga_mugi23,0.1931
MitoTsukino,Yuuhi_Riri,0.2987
MitoTsukino,AliceMononobe,0.1358
MitoTsukino,nekokan_chu,0.2076
MitoTsukino,gaku_fushimi,0.2564
MitoTsukino,Gilzaren_III,0.1477
MitoTsukino,rei_Toya_rei,0.1404
MitoTsukino,KazakiMorinaka,0.2025
MitoTsukino,Kanae_2434,0.1192
MitoTsukino,Youko_Akabane,0.1971
MitoTsukino,saku_sasaki,0.3648
MitoTsukino,_rnrrdark,0.0058
MitoTsukino,honmahimawari,0.3424
MitoTsukino,makaino_ririmu,0.2969
MitoTsukino,Vamp_Kuzu,0.0945
MitoTsukino,setsuna2434,0.004
MitoTsukino,yuika_siina,0.3618
MitoTsukino,___Dola,0.23
MitoTsukino,god_yaksa23,0.0041
MitoTsukino,azuma_dazo,0.0067
MitoTsukino,ikasumi_zzz,0.0339
MitoTsukino,KT_seeds,0.1769
MitoTsukino,SisterCleaire,0.2981
MitoTsukino,ZulmIhP1nlMOT5y,0.3001
MitoTsukino,846kizuQ,0.2811
MitoTsukino,momo_azuchi_,0.1519
MitoTsukino,Darkness_Eater,0.2703
MitoTsukino,midori_2434,0.3382
MitoTsukino,udukikohh,0.2254
MitoTsukino,839yuzu,0.0042
MitoTsukino,Kanda_Shoichi,0.258
MitoTsukino,nArUtO_kOgAnE,0.0029
MitoTsukino,hina__asuka,0.1212
MitoTsukino,harusakiair2434,0.1987
MitoTsukino,Sayo_Amemori,0.0996
MitoTsukino,TakamiyaRion,0.3459
MitoTsukino,maimoto_k,0.3176
MitoTsukino,RindouMikoto,0.2061
MitoTsukino,debidebiru_sama,0.3344
MitoTsukino,SAKURA_RITSUKI,0.1835
MitoTsukino,chima_machita23,0.2859
MitoTsukino,tukimi_sizuku,0.006
MitoTsukino,JoeRikiichi,0.3006
MitoTsukino,ac1kt,0.0059
MitoTsukino,narusenaru_2434,0.2284
MitoTsukino,belmond_b_2434,0.2677
